textbox12,UnitName,textbox18,EventTime,GeofenceName,GeofenceEvent1,Schedule
Group: ,Unit:VBK301,,6/08/2024 10:37:28 a.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,6/08/2024 10:39:28 a.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,6/08/2024 10:40:28 a.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,6/08/2024 11:51:30 a.m.,PEAJE CIAT ,IN,
Group: ,Unit:VBK301,,6/08/2024 11:52:30 a.m.,PEAJE CIAT ,OUT,
Group: ,Unit:VBK301,,8/08/2024 5:22:45 p.m.,Parq Mejia,IN,
Group: ,Unit:VBK301,,8/08/2024 5:22:45 p.m.,parq Mejia,IN,
Group: ,Unit:VBK301,,8/08/2024 5:24:12 p.m.,Parq Mejia,OUT,
Group: ,Unit:VBK301,,8/08/2024 5:25:45 p.m.,parq Mejia,OUT,
Group: ,Unit:VBK301,,8/08/2024 7:20:50 p.m.,parq Mejia,IN,
Group: ,Unit:VBK301,,8/08/2024 7:21:43 p.m.,Parq Mejia,IN,
Group: ,Unit:VBK301,,8/08/2024 7:23:37 p.m.,Parq Mejia,OUT,
Group: ,Unit:VBK301,,8/08/2024 7:23:37 p.m.,parq Mejia,OUT,
Group: ,Unit:VBK301,,9/08/2024 10:29:46 a.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,9/08/2024 10:31:46 a.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,9/08/2024 10:42:28 a.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,9/08/2024 10:43:31 a.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,9/08/2024 10:51:06 a.m.,QuimiCauca,IN,
Group: ,Unit:VBK301,,9/08/2024 1:47:52 p.m.,QuimiCauca,OUT,
Group: ,Unit:VBK301,,9/08/2024 1:58:53 p.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,9/08/2024 1:59:16 p.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,9/08/2024 2:17:54 p.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,9/08/2024 2:18:54 p.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,10/08/2024 6:34:40 a.m.,PEAJE CIAT ,IN,
Group: ,Unit:VBK301,,10/08/2024 6:36:40 a.m.,PEAJE CIAT ,OUT,
Group: ,Unit:VBK301,,12/08/2024 6:03:17 a.m.,peaje de villarica ,IN,
Group: ,Unit:VBK301,,12/08/2024 6:06:17 a.m.,peaje de villarica ,OUT,
Group: ,Unit:VBK301,,12/08/2024 6:16:26 a.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,12/08/2024 6:23:08 a.m.,paso calle 20 Santander sin pago finca ,OUT,
Group: ,Unit:VBK301,,12/08/2024 6:31:22 a.m.,QuimiCauca,IN,
Group: ,Unit:VBK301,,12/08/2024 1:06:19 p.m.,QuimiCauca,OUT,
Group: ,Unit:VBK301,,12/08/2024 1:14:28 p.m.,paso calle 20 Santander sin pago finca ,IN,
Group: ,Unit:VBK301,,12/08/2024 1:15:48 p.m.,paso calle 20 Santander sin pago finca ,OUT,
