Unit,Events,Date,Landmark
KUM480,Geofence IN,Sep 23 2024 01:28 PM,PEAJE SAN PEDRO 
KUM480,Landmark IN,Sep 23 2024 01:26 PM,Peaje Betania
KUM480,Geofence OUT,Sep 23 2024 01:22 PM,Ruta 5 Brenntag Buga
KUM480,Ignition ON,Sep 23 2024 01:13 PM,
KUM480,Geofence IN,Sep 23 2024 12:34 PM,Ruta 5 Brenntag Buga
KUM480,Geofence OUT,Sep 23 2024 12:06 PM,PEAJE EL CERRITO 
KUM480,Geofence IN,Sep 23 2024 12:04 PM,PEAJE EL CERRITO 
KUM480,Landmark OUT,Sep 23 2024 11:52 AM,Peaje Rozo
KUM480,Landmark IN,Sep 23 2024 11:48 AM,Peaje Rozo
KUM480,Geofence OUT,Sep 23 2024 11:15 AM,Ruta 4 Brenntag Yumbo
KUM480,Landmark OUT,Sep 23 2024 11:07 AM,Cajero Bancol Lloreda
KUM480,Landmark IN,Sep 23 2024 11:05 AM,Cajero Bancol Lloreda
KUM480,Landmark OUT,Sep 23 2024 11:03 AM,PREMEZCLAS S.A.
KUM480,Landmark IN,Sep 23 2024 11:01 AM,PREMEZCLAS S.A.
KUM480,Landmark OUT,Sep 23 2024 10:57 AM,Brenntag Yumbo
KUM480,Ignition ON,Sep 23 2024 10:53 AM,Brenntag Yumbo
KUM480,Geofence OUT,Sep 23 2024 10:17 AM,ingreso y salida de  brentag 
KUM480,Ignition ON,Sep 23 2024 10:16 AM,Brenntag Yumbo
KUM480,Geofence OUT,Sep 23 2024 10:02 AM,Br Yumbo Z Cargue
KUM480,Ignition ON,Sep 23 2024 10:02 AM,Brenntag Yumbo
KUM480,Ignition ON,Sep 23 2024 08:57 AM,Brenntag Yumbo
KUM480,Geofence IN,Sep 23 2024 08:49 AM,ingreso y salida de  brentag 
KUM480,Ignition ON,Sep 23 2024 08:45 AM,Brenntag Yumbo
KUM480,Landmark IN,Sep 23 2024 06:01 AM,Brenntag Yumbo
KUM480,Landmark OUT,Sep 23 2024 05:57 AM,Quimicol Ltda
KUM480,Landmark IN,Sep 23 2024 05:55 AM,Quimicol Ltda
KUM480,Geofence IN,Sep 23 2024 05:54 AM,Ruta 4 Brenntag Yumbo
KUM480,Landmark OUT,Sep 23 2024 05:41 AM,AAApapermet
KUM480,Landmark IN,Sep 23 2024 05:39 AM,AAApapermet
KUM480,Landmark OUT,Sep 23 2024 05:22 AM,parq. Valle del Lili
KUM480,POWER UP,Sep 23 2024 05:17 AM,parq. Valle del Lili
KUM480,Ignition ON,Sep 23 2024 05:17 AM,parq. Valle del Lili
KUM480,Landmark IN,Sep 22 2024 06:52 PM,parq. Valle del Lili
KUM480,Landmark OUT,Sep 22 2024 06:51 PM,parq. Valle del Lili
KUM480,POWER UP,Sep 22 2024 06:46 PM,parq. Valle del Lili
KUM480,Ignition ON,Sep 22 2024 06:46 PM,parq. Valle del Lili
KUM480,Landmark IN,Sep 21 2024 01:35 PM,parq. Valle del Lili
KUM480,Landmark OUT,Sep 21 2024 12:52 PM,Cosmeticos Janny S.A.S.
KUM480,Landmark IN,Sep 21 2024 12:51 PM,Cosmeticos Janny S.A.S.
KUM480,Geofence OUT,Sep 21 2024 12:30 PM,Ruta 4 Brenntag Yumbo
KUM480,Geofence OUT,Sep 21 2024 12:19 PM,Br Yumbo Z Cargue
KUM480,Geofence OUT,Sep 21 2024 12:19 PM,ingreso y salida de  brentag 
KUM480,Landmark OUT,Sep 21 2024 12:19 PM,Brenntag Yumbo
KUM480,POWER UP,Sep 21 2024 12:14 PM,Brenntag Yumbo
KUM480,Ignition ON,Sep 21 2024 12:14 PM,Brenntag Yumbo
KUM480,Geofence IN,Sep 21 2024 09:30 AM,Br Yumbo Z Cargue
KUM480,Geofence OUT,Sep 21 2024 09:30 AM,Br Yumbo Z Parqueo
KUM480,Geofence IN,Sep 21 2024 09:30 AM,ingreso y salida de  brentag 
KUM480,Ignition ON,Sep 21 2024 09:28 AM,Brenntag Yumbo
